service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
23_merged_2787238,20151206,20160409,0,0,0,0,0,0,0
13_merged_2787231,20151206,20160409,0,0,0,0,0,0,0
150804_merged_2787241,20151206,20160409,0,0,0,0,0,0,0
102904,20151206,20160409,0,0,0,0,0,0,0
4_merged_2787276,20160410,20160813,1,1,1,1,1,0,0
84204_merged_2787245,20151206,20160409,0,0,0,0,0,0,0
13304_merged_2787271,20160410,20160813,0,0,0,0,0,0,0
3_merged_2787242,20151206,20160409,0,0,0,0,0,0,1
26_merged_2787234,20151206,20160409,0,0,0,0,0,0,0
20_merged_2787267,20160410,20160813,0,0,0,0,0,0,0
11_merged_2787283,20160410,20160813,0,0,0,0,0,0,0
12704,20160410,20160813,0,0,0,0,0,0,0
104_merged_2787250,20151206,20160409,0,0,0,0,0,0,0
9_merged_2787278,20160410,20160813,0,0,0,0,0,0,0
23_merged_2787270,20160410,20160813,0,0,0,0,0,0,0
24911,20151206,20160409,0,0,0,0,0,0,0
19_merged_2787288,20160410,20160813,0,0,0,0,0,0,0
16_merged_2787258,20151206,20160409,0,0,0,0,0,0,0
24919,20151206,20160409,0,0,0,0,0,0,0
193604,20151206,20160409,0,0,0,0,0,0,0
18_merged_2787289,20160410,20160813,0,0,0,0,0,0,0
1004_merged_2787248,20151206,20160409,0,0,0,0,0,0,0
82404_merged_2787272,20160410,20160813,0,0,0,0,0,0,0
3_merged_2787274,20160410,20160813,0,0,0,0,0,0,1
104_merged_2787282,20160410,20160813,0,0,0,0,0,0,0
4_merged_2787244,20151206,20160409,1,1,1,1,1,0,0
1_merged_2787291,20160410,20160813,0,0,0,0,0,0,0
190103,20151206,20160409,0,0,0,0,0,0,0
123704_merged_2787230,20151206,20160409,0,0,0,0,0,0,0
13_merged_2787263,20160410,20160813,0,0,0,0,0,0,0
210704_merged_2787249,20151206,20160409,0,0,0,0,0,0,0
24902,20151206,20160409,0,0,0,0,0,0,0
24903,20151206,20160409,0,0,0,0,0,0,0
24904,20151206,20160409,0,0,0,0,0,0,0
1011,20151206,20160409,0,0,0,0,0,0,0
25_merged_2787265,20160410,20160813,0,0,0,0,0,0,0
8_merged_2787279,20160410,20160813,0,0,0,0,0,0,0
65504,20151206,20160409,0,0,0,0,0,0,0
18_merged_2787257,20151206,20160409,0,0,0,0,0,0,0
128004_merged_2787261,20160410,20160813,0,0,0,0,0,0,0
9_merged_2787246,20151206,20160409,0,0,0,0,0,0,0
22_merged_2787237,20151206,20160409,0,0,0,0,0,0,0
150804_merged_2787273,20160410,20160813,0,0,0,0,0,0,0
24_merged_2787264,20160410,20160813,0,0,0,0,0,0,0
105304,20151206,20160409,0,0,0,0,0,0,0
8_merged_2787247,20151206,20160409,0,0,0,0,0,0,0
12_merged_2787285,20160410,20160813,0,0,0,0,0,0,0
84204_merged_2787277,20160410,20160813,0,0,0,0,0,0,0
247302,20151206,20160409,0,0,0,0,0,0,0
71304,20160410,20160813,0,0,0,0,0,0,0
10_merged_2787284,20160410,20160813,0,0,0,0,0,0,0
252604_merged_2787260,20151206,20160409,0,0,0,0,0,0,0
2_merged_2787275,20160410,20160813,0,0,0,0,0,1,0
24920,20151206,20160409,0,0,0,0,0,0,0
24921,20151206,20160409,0,0,0,0,0,0,0
504,20151206,20160409,0,0,0,0,0,0,0
189904,20151206,20160409,0,0,0,0,0,0,0
252604_merged_2787292,20160410,20160813,0,0,0,0,0,0,0
190002,20151206,20160409,0,0,0,0,0,0,0
17_merged_2787255,20151206,20160409,0,0,0,0,0,0,0
123711,20151206,20160409,0,0,0,0,0,0,0
74211,20151206,20160409,0,0,0,0,0,0,0
21_merged_2787268,20160410,20160813,0,0,0,0,0,0,0
82411,20151206,20160409,0,0,0,0,0,0,0
16_merged_2787290,20160410,20160813,0,0,0,0,0,0,0
13304_merged_2787239,20151206,20160409,0,0,0,0,0,0,0
25_merged_2787233,20151206,20160409,0,0,0,0,0,0,0
1_merged_2787259,20151206,20160409,0,0,0,0,0,0,0
17_merged_2787287,20160410,20160813,0,0,0,0,0,0,0
1004_merged_2787280,20160410,20160813,0,0,0,0,0,0,0
74204,20151206,20160409,0,0,0,0,0,0,0
210704_merged_2787281,20160410,20160813,0,0,0,0,0,0,0
24_merged_2787232,20151206,20160409,0,0,0,0,0,0,0
15_merged_2787286,20160410,20160813,0,0,0,0,0,0,0
22_merged_2787269,20160410,20160813,0,0,0,0,0,0,0
2_merged_2787243,20151206,20160409,0,0,0,0,0,1,0
82404_merged_2787240,20151206,20160409,0,0,0,0,0,0,0
136504,20151206,20160409,0,0,0,0,0,0,0
123704_merged_2787262,20160410,20160813,0,0,0,0,0,0,0
128004_merged_2787229,20151206,20160409,0,0,0,0,0,0,0
15_merged_2787254,20151206,20160409,0,0,0,0,0,0,0
21_merged_2787236,20151206,20160409,0,0,0,0,0,0,0
26_merged_2787266,20160410,20160813,0,0,0,0,0,0,0
20_merged_2787235,20151206,20160409,0,0,0,0,0,0,0
12_merged_2787253,20151206,20160409,0,0,0,0,0,0,0
19_merged_2787256,20151206,20160409,0,0,0,0,0,0,0
194803,20151206,20160409,0,0,0,0,0,0,0
11_merged_2787251,20151206,20160409,0,0,0,0,0,0,0
10_merged_2787252,20151206,20160409,0,0,0,0,0,0,0
