stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
41.166905,629050,-111.962747,11541,,,E 5300 S,5300 S @ 711 E,0,
41.206463,623264,-111.970663,11546,,,S WASHINGTON BLVD,WASHINGTON BLVD @ 3180 S,0,
41.199655,623261,-111.970843,11544,,,S WASHINGTON BLVD,WASHINGTON BLVD @ 3500 S,0,
41.212617,623267,-111.970515,11548,,,S WASHINGTON BLVD,WASHINGTON BLVD @ 2890 S,0,
41.216811,623189,-111.970443,11549,,,S WASHINGTON BLVD,WASHINGTON BLVD @ 2666 S,0,
40.709481,101558,-112.026595,22263,,,S GLEN EAGLES DRIVE,GLEN EAGLES DRIVE @ 2791 S,0,
40.711198,101560,-112.022608,22265,,,W 2700 S,2700 S @ 5520 W,0,
40.709848,101559,-112.025553,22264,,,S 5630 W,5630 W @ 2750 S,0,
40.521509,101574,-111.938946,22267,,,S REDWOOD RD,REDWOOD RD @ 12640 S,0,
40.512121,101576,-111.938799,22269,,,S REDWOOD RD,REDWOOD RD @ 13156 S,0,
40.517927,101575,-111.938812,22268,,,S REDWOOD RD,REDWOOD RD @ 12830 S,0,
41.172538,629175,-111.972207,11954,,,S 350 E,350 E @ 5000 S,0,
40.741677,NA125431,-111.902366,16253,,,W 1300 S,1300 S @ 398 W,0,
40.741655,NA125347,-111.899382,16252,,,W 1300 S,1300 S @ 298 W,0,
40.742103,BB125430,-111.896656,16251,,,W 1300 S,1300 S @ 180 W,0,
41.161597,601149,-112.053978,22484,,,W 5600 S,5600 S @ 3079 W,0,
40.506381,101659,-112.010299,22487,,,S 5000 W,5000 W @ 13465 S,0,
41.369728,608010,-112.034351,12019,,,S US HWY 89,US HWY 89 @ 7715 S,0,
41.365874,608009,-112.035248,12018,,,S US HWY 89,US HWY 89 @ 7925 S,0,
41.259423,601148,-111.982022,22483,,,W 2ND ST,2ND ST @ 232 W,0,
41.259267,601147,-111.982397,22482,,,W 2ND ST,2ND ST @ 233 W,0,
40.500609,101661,-112.013326,22489,,,S SHAGGY PEAK DRIVE,SHAGGY PEAK DRIVE @ 14098 S,0,
40.502924,101660,-112.012398,22488,,,S SHAGGY PEAK DRIVE,SHAGGY PEAK DRIVE @ 13700 S,0,
40.735421,127249,-111.822107,17258,,,S FOOTHILL DR,FOOTHILL DR @ 1568 S,0,
40.730817,127250,-111.818371,17259,,,S FOOTHILL DR,FOOTHILL DR @ 1810 S,0,
40.626271,152056,-111.967278,17253,,,S 3200 W,3200 W @ 6871 S,0,
40.628801,152057,-111.967266,17254,,,S 3200 W,3200 W @ 6735 S,0,
40.631129,152208,-111.967278,17255,,,S 3200 W,3200 W @ 6608 S,0,
40.633343,152058,-111.967268,17256,,,S 3200 W,3200 W @ 6505 S,0,
40.635261,152059,-111.967267,17257,,,S 3200 W,3200 W @ 6385 S,0,
41.243253,623012,-111.969802,9258,,,S WASHINGTON BLVD,WASHINGTON BLVD @ 1250 S,0,
41.244797,623013,-111.969785,9259,,,S WASHINGTON BLVD,WASHINGTON BLVD @ 1146 S  (OGDEN),0,
40.639973,152006,-111.957957,15955,,,S 2700 W,2700 W @ 6102 S,0,
40.229588,820016,-111.648454,10700,,,E 300 S,300 S @ 598 E,0,
41.231608,623006,-111.970065,9252,,,S WASHINGTON BLVD,WASHINGTON BLVD @ 1970 S,0,
41.229395,623005,-111.970103,9251,,,S WASHINGTON BLVD,WASHINGTON BLVD @ 2070 S,0,
40.713647,101340,-111.853636,21619,,,S 1300 E,1300 E @ 2680 S,0,
40.716735,101335,-111.938826,21615,,,S REDWOOD RD,REDWOOD RD @ 2499 S,0,
40.707773,101334,-111.938801,21614,,,S REDWOOD RD,REDWOOD RD @ 2911 S,0,
40.720437,101336,-111.938823,21616,,,S REDWOOD RD,REDWOOD RD @ 2327 S,0,
40.390898,801037,-111.577661,21610,,,E SUNDANCE RESORT,SUNDANCE RESORT @ 1 E,0,
