block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_889894,63307,1,West Valley Central Station,139215,4_merged_2787276,2729438
b_889894,63307,1,West Valley Central Station,139215,4_merged_2787276,2729439
a_861365,60989,0,Millcreek Station,132480,3_merged_2787242,2510053
b_896427,63350,1,South Ogden,139354,23_merged_2787270,2787065
b_890801,63366,1,To Salt Lake Central,139421,4_merged_2787276,2737669
a_889491,61034,0,Layton Hills Mall,132639,21_merged_2787236,2725580
a_889489,61034,0,Layton Hills Mall,132639,21_merged_2787236,2725581
a_889491,61034,0,Layton Hills Mall,132639,21_merged_2787236,2725583
a_889490,61034,0,Layton Hills Mall,132639,21_merged_2787236,2725585
a_863939,61021,1,North Temple Station,132591,4_merged_2787244,2512423
a_863838,61021,1,North Temple Station,132591,4_merged_2787244,2512422
a_863944,61021,1,North Temple Station,132591,4_merged_2787244,2512421
a_863943,61021,1,North Temple Station,132591,4_merged_2787244,2512420
a_863943,61021,1,North Temple Station,132591,4_merged_2787244,2512427
a_863938,61021,1,North Temple Station,132591,4_merged_2787244,2512426
a_863940,61021,1,North Temple Station,132591,4_merged_2787244,2512425
a_863942,61021,1,North Temple Station,132591,4_merged_2787244,2512424
b_889732,63335,1,Salt Lake Central Station,139313,4_merged_2787276,2732830
a_863838,61021,1,North Temple Station,132591,4_merged_2787244,2512429
a_863944,61021,1,North Temple Station,132591,4_merged_2787244,2512428
b_895674,63309,0,Research Park and This is the Place,139218,15_merged_2787286,2780598
b_895680,63309,1,Salt Lake Central Station,139220,15_merged_2787286,2780599
b_891790,63500,0,Historic Sandy Station,139679,4_merged_2787276,2743168
b_891791,63500,0,Historic Sandy Station,139679,4_merged_2787276,2743169
b_889739,63335,1,Salt Lake Central Station,139313,4_merged_2787276,2732832
b_890805,63366,1,To Salt Lake Central,139421,4_merged_2787276,2737665
b_891790,63500,0,Historic Sandy Station,139679,4_merged_2787276,2743166
b_891790,63500,0,Historic Sandy Station,139679,4_merged_2787276,2743167
a_861964,61062,1,Orem Central Station,132756,4_merged_2787244,2516500
a_861965,61062,1,Orem Central Station,132756,4_merged_2787244,2516501
a_861962,61062,1,Orem Central Station,132756,4_merged_2787244,2516502
a_861965,61062,1,Orem Central Station,132756,4_merged_2787244,2516503
a_861963,61062,1,Orem Central Station,132756,4_merged_2787244,2516504
a_861966,61062,1,Orem Central Station,132756,4_merged_2787244,2516505
a_861964,61062,1,Orem Central Station,132756,4_merged_2787244,2516506
a_861962,61062,1,Orem Central Station,132756,4_merged_2787244,2516507
a_861965,61062,1,Orem Central Station,132756,4_merged_2787244,2516508
a_861963,61062,1,Orem Central Station,132756,4_merged_2787244,2516509
b_895753,63299,1,1300 North Redwood,139195,9_merged_2787278,2781645
b_895753,63299,1,1300 North Redwood,139196,9_merged_2787278,2781644
a_864852,61005,1,Murray North Station,132530,2_merged_2787243,2511190
a_864849,61005,1,Murray North Station,132530,2_merged_2787243,2511191
a_864854,61005,1,Murray North Station,132530,2_merged_2787243,2511196
a_864855,61005,1,Murray North Station,132530,2_merged_2787243,2511197
a_864850,61005,1,Murray North Station,132530,2_merged_2787243,2511194
b_895753,63299,1,1300 North Redwood,139196,9_merged_2787278,2781642
a_864858,61005,1,Murray North Station,132530,2_merged_2787243,2511198
a_864856,61005,1,Murray North Station,132530,2_merged_2787243,2511199
b_895754,63299,1,1300 North Redwood,139196,9_merged_2787278,2781649
b_895754,63299,1,1300 North Redwood,139196,9_merged_2787278,2781648
b_890092,63329,1,Murray North Station,139276,4_merged_2787276,2732203
b_890092,63329,1,Murray North Station,139276,4_merged_2787276,2732202
b_890091,63329,1,Murray North Station,139276,4_merged_2787276,2732201
b_890091,63329,1,Murray North Station,139276,4_merged_2787276,2732200
b_890093,63329,1,Murray North Station,139276,4_merged_2787276,2732207
b_890093,63329,1,Murray North Station,139276,4_merged_2787276,2732206
b_890093,63329,1,Murray North Station,139276,4_merged_2787276,2732205
b_890092,63329,1,Murray North Station,139276,4_merged_2787276,2732204
b_896070,63367,1,To University Medical,139434,15_merged_2787286,2784035
b_896071,63367,1,To Central Pointe,139433,15_merged_2787286,2784034
b_890094,63329,1,Murray North Station,139276,4_merged_2787276,2732209
b_890094,63329,1,Murray North Station,139276,4_merged_2787276,2732208
b_896074,63367,0,To Daybreak Parkway,139428,15_merged_2787286,2784031
b_896075,63367,0,To Daybreak Parkway,139428,15_merged_2787286,2784030
b_896072,63367,1,To University Medical,139434,15_merged_2787286,2784033
b_896073,63367,0,To Daybreak Parkway,139428,15_merged_2787286,2784032
a_865980,60982,1,West Valley Central Station,132466,11_merged_2787251,2541878
a_865981,60982,1,West Valley Central Station,132466,11_merged_2787251,2541879
a_865980,60982,1,West Valley Central Station,132466,11_merged_2787251,2541874
a_865981,60982,1,West Valley Central Station,132466,11_merged_2787251,2541875
a_865982,60982,1,West Valley Central Station,132466,11_merged_2787251,2541876
a_865979,60982,1,West Valley Central Station,132466,11_merged_2787251,2541877
a_865982,60982,0,Jordan Valley Station,132465,11_merged_2787251,2541870
a_865984,60982,0,Jordan Valley Station,132465,11_merged_2787251,2541871
a_865982,60982,0,Jordan Valley Station,132465,11_merged_2787251,2541872
a_865979,60982,1,West Valley Central Station,132466,11_merged_2787251,2541873
b_892354,63373,0,Santaquin,139482,4_merged_2787276,2739529
b_892353,63373,0,Santaquin,139482,4_merged_2787276,2739528
b_892351,63373,0,Santaquin,139482,4_merged_2787276,2739527
b_892356,63373,0,Santaquin,139482,4_merged_2787276,2739526
a_862239,61042,1,To Airport,132694,4_merged_2787244,2518368
a_862240,61042,1,To Airport,132694,4_merged_2787244,2518369
a_862240,61042,1,To Airport,132694,4_merged_2787244,2518362
a_862241,61042,1,To Airport,132694,4_merged_2787244,2518363
a_862238,61042,1,To Airport,132694,4_merged_2787244,2518360
a_862239,61042,1,To Airport,132694,4_merged_2787244,2518361
a_862237,61042,1,To Airport,132694,4_merged_2787244,2518366
a_862238,61042,1,To Airport,132694,4_merged_2787244,2518367
a_862242,61042,1,To Airport,132694,4_merged_2787244,2518364
a_862243,61042,1,To Airport,132694,4_merged_2787244,2518365
b_890805,63366,0,To Draper,139415,4_merged_2787276,2737589
b_890804,63366,0,To Draper,139415,4_merged_2787276,2737588
b_890803,63366,0,To Draper,139415,4_merged_2787276,2737587
b_890802,63366,0,To Draper,139415,4_merged_2787276,2737586
b_890801,63366,0,To Draper,139415,4_merged_2787276,2737585
b_890808,63366,0,To Draper,139415,4_merged_2787276,2737584
b_890809,63366,0,To Draper,139415,4_merged_2787276,2737583
b_890806,63366,0,To Draper,139415,4_merged_2787276,2737582
b_890805,63366,0,To Draper,139415,4_merged_2787276,2737581
b_890804,63366,0,To Draper,139415,4_merged_2787276,2737580
b_896150,63371,1,To Central Pointe,139462,9_merged_2787278,2784691
b_896150,63371,1,To Central Pointe,139462,9_merged_2787278,2784690
b_896131,63371,1,To Central Pointe,139462,9_merged_2787278,2784693
b_896147,63371,1,To Central Pointe,139462,9_merged_2787278,2784692
b_896150,63371,1,To Central Pointe,139462,9_merged_2787278,2784695
b_896147,63371,1,To Central Pointe,139462,9_merged_2787278,2784694
b_896143,63371,1,To Central Pointe,139462,9_merged_2787278,2784697
b_896143,63371,1,To Central Pointe,139462,9_merged_2787278,2784696
b_896131,63371,1,To Central Pointe,139462,9_merged_2787278,2784699
b_896131,63371,1,To Central Pointe,139462,9_merged_2787278,2784698
b_895836,63346,1,Ogden Transit Center,139340,9_merged_2787278,2782699
b_895835,63346,1,Ogden Transit Center,139340,9_merged_2787278,2782698
b_895837,63346,0,McKay-Dee Hospital,139338,9_merged_2787278,2782693
b_895838,63346,0,McKay-Dee Hospital,139338,9_merged_2787278,2782692
b_895837,63346,0,McKay-Dee Hospital,139338,9_merged_2787278,2782691
b_895838,63346,0,McKay-Dee Hospital,139338,9_merged_2787278,2782690
b_895836,63346,1,Ogden Transit Center,139340,9_merged_2787278,2782697
b_895835,63346,1,Ogden Transit Center,139340,9_merged_2787278,2782696
b_895837,63346,0,McKay-Dee Hospital,139338,9_merged_2787278,2782695
b_895838,63346,0,McKay-Dee Hospital,139338,9_merged_2787278,2782694
a_865852,60973,0,Central Pointe Station,132442,11_merged_2787251,2540479
a_865845,60973,0,Central Pointe Station,132442,11_merged_2787251,2540478
b_890894,63368,1,To Airport,139446,4_merged_2787276,2738698
b_890894,63368,1,To Airport,139446,4_merged_2787276,2738699
a_865875,60972,1,North Temple Station,132440,11_merged_2787251,2540473
a_865870,60972,1,North Temple Station,132440,11_merged_2787251,2540472
a_865874,60972,1,North Temple Station,132440,11_merged_2787251,2540471
a_865828,60972,1,North Temple Station,132440,11_merged_2787251,2540470
a_865864,60972,1,North Temple Station,132440,11_merged_2787251,2540477
a_865870,60972,1,North Temple Station,132440,11_merged_2787251,2540476
a_865866,60972,1,North Temple Station,132440,11_merged_2787251,2540475
a_865864,60972,1,North Temple Station,132440,11_merged_2787251,2540474
b_895651,63295,1,Salt Lake Central Station,139184,15_merged_2787286,2780279
b_895651,63295,1,Salt Lake Central Station,139184,15_merged_2787286,2780278
b_895650,63295,1,Salt Lake Central Station,139184,15_merged_2787286,2780273
b_895650,63295,1,Salt Lake Central Station,139184,15_merged_2787286,2780272
